time[sec],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],MOON_pos_i(X)[m],MOON_pos_i(Y)[m],MOON_pos_i(Z)[m],MOON_vel_i(X)[m/s],MOON_vel_i(Y)[m/s],MOON_vel_i(Z)[m/s],omega_true_b(X)[rad/s],omega_true_b(Y)[rad/s],omega_true_b(Z)[rad/s],quaternion_true_i2b(0)[-],quaternion_true_i2b(1)[-],quaternion_true_i2b(2)[-],quaternion_true_i2b(3)[-],torque_true_b(X)[Nm],torque_true_b(Y)[Nm],torque_true_b(Z)[Nm],h_total[Nms],k_sc[J],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],sat_acc_i_i(X)[m/s^2],sat_acc_i_i(Y)[m/s^2],sat_acc_i_i(Z)[m/s^2],lat[rad],lon[rad],alt[m],mag_i(X)[nT],mag_i(Y)[nT],mag_i(Z)[nT],mag_b(X)[nT],mag_b(Y)[nT],mag_b(Z)[nT],sr_pressure[N/m^2],shadow coefficient,airdensity[kg/m^3],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],MOON_pos_b(X)[m],MOON_pos_b(Y)[m],MOON_pos_b(Z)[m],MOON_vel_b(X)[m/s],MOON_vel_b(Y)[m/s],MOON_vel_b(Z)[m/s],ggtorque_b(X)[Nm],ggtorque_b(Y)[Nm],ggtorque_b(Z)[Nm],srp_torque_b(X)[Nm],srp_torque_b(Y)[Nm],srp_torque_b(Z)[Nm],srp_force_b(X)[N],srp_force_b(Y)[N],srp_force_b(Z)[N],airdrag_torque_b(X)[Nm],airdrag_torque_b(Y)[Nm],airdrag_torque_b(Z)[Nm],airdrag_force_b(X)[N],airdrag_force_b(Y)[N],airdrag_force_b(Z)[N],rmm_b(X)[Am^2],rmm_b(Y)[Am^2],rmm_b(Z)[Am^2],mag_dist_torque_b(X)[Nm],mag_dist_torque_b(Y)[Nm],mag_dist_torque_b(Z)[Nm],acc_thirdbody_i(X)[m/s2],acc_thirdbody_i(Y)[m/s2],acc_thirdbody_i(Z)[m/s2],a_geop_ecef(X)[m/s2],a_geop_ecef(Y)[m/s2],a_geop_ecef(Z)[m/s2],
0,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84214e+07,-5.56389e+07,143.728,887.073,356.6,0,0,0,0,0,0,1,0,-0,0,0,0,-2111769.772374508,-5360353.225433829,3596181.649781079,4200.434474,-4637.540129,-4429.236126,4200.434474,-4637.540129,-4429.236126,0,0,0,0.560853,5.72264,419453,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,-0,-0,-0,0,0,0,
0.1,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84213e+07,-5.56388e+07,143.728,887.073,356.6,-9.73265e-07,7.25556e-07,2.4892e-07,-2.43316e-08,1.81389e-08,6.22301e-09,1,-9.73265e-07,7.25556e-07,2.4892e-07,1.23921e-07,7.67819e-14,-2111349.632802087,-5360817.036907832,3595738.617453132,4200.703048,-4636.858302,-4429.694813,4200.703151,-4636.858139,-4429.694887,-2.290190025e-06,2.70990982e-06,2.480792054e-06,0.560776,5.72273,419453,8019.13,31717.3,6569.95,8019.13,31717.3,6569.95,4.71293e-06,1,2.67144e-12,2.11177e+06,5.36035e+06,-3.59618e+06,-4200.43,4637.54,4429.24,2.61775e+10,-1.32802e+11,-5.75759e+10,25601.2,9614.19,6586.18,4.00794e+08,-3.3061e+07,-5.9235e+07,-4056.71,5524.61,4785.84,0,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.1165e-08,6.57871e-07,-6.79036e-07,-3.17579e-05,3.61457e-05,3.40292e-05,0.0400302,0.0399937,0.0399813,-1.00534e-06,5.7619e-08,9.48934e-07,-0,-0,-0,0,0,0,
0.2,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,-1.94391e-06,1.45243e-06,4.94312e-07,-9.7261e-08,7.25886e-08,2.48038e-08,1,-9.70644e-07,7.26875e-07,2.45392e-07,2.47643e-07,3.06634e-13,-2110929.635387711,-5361280.593654979,3595295.71748848,4200.971461,-4636.176691,-4430.15326,4200.971874,-4636.176038,-4430.153552,-2.290406663e-06,2.709441815e-06,2.481151793e-06,0.560699,5.72282,419452,8002.35,31593.4,6519.9,8002.35,31593.4,6519.9,4.71293e-06,1,2.67146e-12,2.11135e+06,5.36082e+06,-3.59574e+06,-4196.76,4639.83,4436.44,2.61776e+10,-1.32802e+11,-5.75759e+10,34318.4,59134,-103672,4.00794e+08,-3.30604e+07,-5.92345e+07,-4022.23,5481.82,5044.92,2.64873e-23,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.10491e-08,6.57951e-07,-6.79e-07,-3.17609e-05,3.61391e-05,3.40342e-05,0.0400621,0.0400289,0.0399954,-1.0026e-06,5.88563e-08,9.45371e-07,-0,-0,-0,0,0,0,
0.3,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,-2.91601e-06,2.17623e-06,7.42382e-07,-2.18759e-07,1.63305e-07,5.57212e-08,1,-9.72103e-07,7.23798e-07,2.48069e-07,3.71352e-07,6.89512e-13,-2110509.442107749,-5361744.268756464,3594852.593431002,4201.239929,-4635.494746,-4430.611835,4201.240859,-4635.493276,-4430.612491,-2.290623198e-06,2.708973896e-06,2.481511366e-06,0.560621,5.72291,419452,7920.71,31561.5,6533.7,7920.71,31561.5,6533.7,4.71293e-06,1,2.67149e-12,2.11093e+06,5.36128e+06,-3.59529e+06,-4193.1,4642.12,4443.64,2.61776e+10,-1.32802e+11,-5.7576e+10,43580.1,108595,-213547,4.00794e+08,-3.30599e+07,-5.9234e+07,-3987.55,5440.28,5304.61,2.64873e-23,0,1.32436e-23,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.09332e-08,6.58032e-07,-6.78965e-07,-3.17639e-05,3.61326e-05,3.40393e-05,0.0400555,0.0399205,0.0400734,-1.00395e-06,5.5699e-08,9.48013e-07,-0,-0,-0,0,0,0,
0.4,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.8421e+07,-5.56387e+07,143.727,887.073,356.6,-3.88481e-06,2.90068e-06,9.84099e-07,-3.8878e-07,2.90228e-07,9.88832e-08,1,-9.68802e-07,7.24452e-07,2.41718e-07,4.94714e-07,1.22371e-12,-2110089.391024895,-5362207.689166662,3594409.601792156,4201.508235,-4634.813017,-4431.070169,4201.50989,-4634.810402,-4431.071334,-2.290839806e-06,2.708505688e-06,2.481871064e-06,0.560544,5.723,419451,8001.75,31583.4,6614.83,8001.75,31583.4,6614.85,4.71293e-06,1,2.67152e-12,2.11051e+06,5.36175e+06,-3.59485e+06,-4189.44,4644.41,4450.84,2.61776e+10,-1.32802e+11,-5.7576e+10,52309.1,158071,-323696,4.00793e+08,-3.30593e+07,-5.92334e+07,-3953.15,5397.75,5563.03,0,0,-1.32436e-23,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01894e-07,2.08172e-08,6.58113e-07,-6.7893e-07,-3.1767e-05,3.6126e-05,3.40443e-05,0.0399331,0.0399412,0.0400443,-1.00053e-06,5.62726e-08,9.41626e-07,-0,-0,-0,0,0,0,
0.5,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56387e+07,143.727,887.073,356.6,-4.86211e-06,3.63014e-06,1.23027e-06,-6.07453e-07,4.53498e-07,1.54242e-07,1,-9.77293e-07,7.29459e-07,2.46172e-07,6.19125e-07,1.91658e-12,-2109669.144065541,-5362671.227864522,3593966.386034884,4201.776595,-4634.130954,-4431.52863,4201.779185,-4634.126866,-4431.530449,-2.29105631e-06,2.708037567e-06,2.482230597e-06,0.560467,5.72309,419450,8048.88,31716,6531.99,8048.88,31716,6532.02,4.71293e-06,1,2.67154e-12,2.11009e+06,5.36221e+06,-3.5944e+06,-4185.81,4646.7,4458.02,2.61776e+10,-1.32802e+11,-5.7576e+10,61919.5,207522,-433390,4.00793e+08,-3.30588e+07,-5.92329e+07,-3918.5,5357.57,5821.82,0,0,0,1.09115e-08,1.0067e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01894e-07,2.07012e-08,6.58193e-07,-6.78895e-07,-3.177e-05,3.61195e-05,3.40493e-05,0.0399794,0.0399982,0.0400484,-1.00891e-06,6.11987e-08,9.46045e-07,-0,-0,-0,0,0,0,
0.6,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56386e+07,143.727,887.073,356.6,-5.83395e-06,4.34971e-06,1.48288e-06,-8.74854e-07,6.52995e-07,2.22071e-07,1,-9.71845e-07,7.19567e-07,2.52609e-07,7.42657e-07,2.75769e-12,-2109249.039328776,-5363134.511921652,3593523.302737266,4202.044795,-4633.449107,-4431.986851,4202.048525,-4633.443218,-4431.989471,-2.291272884e-06,2.707569156e-06,2.482590254e-06,0.56039,5.72318,419450,7891.61,31679,6609.46,7891.61,31679,6609.51,4.71293e-06,1,2.67157e-12,2.10967e+06,5.36267e+06,-3.59396e+06,-4182.14,4649.01,4465.26,2.61776e+10,-1.32802e+11,-5.75761e+10,71226.6,257346,-544080,4.00792e+08,-3.30582e+07,-5.92323e+07,-3883.7,5316.11,6082.33,0,0,0,1.09114e-08,1.0067e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01895e-07,2.05851e-08,6.58274e-07,-6.78859e-07,-3.1773e-05,3.61129e-05,3.40544e-05,0.0400217,0.0399663,0.0400107,-1.00334e-06,5.12258e-08,9.52447e-07,-0,-0,-0,0,0,0,
0.7,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84208e+07,-5.56386e+07,143.727,887.073,356.6,-6.80631e-06,5.0766e-06,1.72629e-06,-1.19086e-06,8.88652e-07,3.02301e-07,1,-9.72355e-07,7.26896e-07,2.43411e-07,8.66474e-07,3.75389e-12,-2108828.738708,-5363597.914196024,3593079.995299222,4202.313049,-4632.766926,-4432.4452,4202.318125,-4632.75891,-4432.448765,-2.291489356e-06,2.707100831e-06,2.482949746e-06,0.560313,5.72327,419449,7966.43,31613,6517.71,7966.43,31612.9,6517.77,4.71293e-06,1,2.6716e-12,2.10926e+06,5.36314e+06,-3.59351e+06,-4178.46,4651.28,4472.45,2.61776e+10,-1.32802e+11,-5.75761e+10,79109.6,306688,-654306,4.00792e+08,-3.30577e+07,-5.92317e+07,-3849.7,5271.74,6339.06,0,0,1.32436e-23,1.09114e-08,1.0067e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01896e-07,2.0469e-08,6.58355e-07,-6.78824e-07,-3.17761e-05,3.61063e-05,3.40594e-05,0.039912,0.0399832,0.0399943,-1.00374e-06,5.84742e-08,9.43213e-07,-0,-0,-0,0,0,0,
0.8,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84207e+07,-5.56386e+07,143.726,887.073,356.6,-7.78387e-06,5.80062e-06,1.97695e-06,-1.55562e-06,1.16058e-06,3.94882e-07,1,-9.77567e-07,7.24019e-07,2.50658e-07,9.90678e-07,4.90721e-12,-2108408.580345475,-5364061.061869013,3592636.820372578,4202.581141,-4632.08496,-4432.903308,4202.587772,-4632.074488,-4432.907964,-2.291705898e-06,2.706632217e-06,2.483309363e-06,0.560235,5.72336,419449,7926.03,31763.1,6557.67,7926.04,31763.1,6557.76,4.71293e-06,1,2.67163e-12,2.10884e+06,5.36361e+06,-3.59306e+06,-4174.82,4653.57,4479.66,2.61776e+10,-1.32802e+11,-5.75762e+10,88636.2,356301,-764408,4.00792e+08,-3.30572e+07,-5.9231e+07,-3814.97,5231.09,6598.71,0,0,0,1.09114e-08,1.0067e-08,-2.09784e-08,-3.04802e-07,1.79304e-06,7.01897e-07,2.03528e-08,6.58436e-07,-6.78789e-07,-3.17791e-05,3.60997e-05,3.40645e-05,0.0399192,0.0400616,0.0400322,-1.00883e-06,5.55164e-08,9.50425e-07,-0,-0,-0,0,0,0,
0.9,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84206e+07,-5.56385e+07,143.726,887.073,356.6,-8.75919e-06,6.52473e-06,2.22664e-06,-1.96919e-06,1.46872e-06,4.99971e-07,1,-9.75313e-07,7.24108e-07,2.49688e-07,1.11469e-06,6.21267e-12,-2107988.226081239,-5364524.327700046,3592193.421272765,4202.849288,-4631.402662,-4433.361544,4202.85768,-4631.389404,-4433.367438,-2.291922337e-06,2.70616369e-06,2.483668814e-06,0.560158,5.72345,419448,7928.22,31681.4,6551.64,7928.23,31681.4,6551.75,4.71293e-06,1,2.67165e-12,2.10842e+06,5.36407e+06,-3.59262e+06,-4171.14,4655.87,4486.89,2.61776e+10,-1.32802e+11,-5.75763e+10,97034.8,406023,-875276,4.00791e+08,-3.30567e+07,-5.92304e+07,-3780.64,5187.84,6857.04,-2.64872e-23,0,-1.32436e-23,1.09114e-08,1.0067e-08,-2.09784e-08,-3.04802e-07,1.79304e-06,7.01898e-07,2.02366e-08,6.58517e-07,-6.78753e-07,-3.17822e-05,3.60932e-05,3.40695e-05,0.0399691,0.0399659,0.0400332,-1.00646e-06,5.55244e-08,9.4942e-07,-0,-0,-0,0,0,0,
