time[sec],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],MOON_pos_i(X)[m],MOON_pos_i(Y)[m],MOON_pos_i(Z)[m],MOON_vel_i(X)[m/s],MOON_vel_i(Y)[m/s],MOON_vel_i(Z)[m/s],omega_true_b(X)[rad/s],omega_true_b(Y)[rad/s],omega_true_b(Z)[rad/s],quaternion_true_i2b(0)[-],quaternion_true_i2b(1)[-],quaternion_true_i2b(2)[-],quaternion_true_i2b(3)[-],torque_true_b(X)[Nm],torque_true_b(Y)[Nm],torque_true_b(Z)[Nm],h_total[Nms],k_sc[J],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],sat_acc_i_i(X)[m/s^2],sat_acc_i_i(Y)[m/s^2],sat_acc_i_i(Z)[m/s^2],lat[rad],lon[rad],alt[m],mag_i(X)[nT],mag_i(Y)[nT],mag_i(Z)[nT],mag_b(X)[nT],mag_b(Y)[nT],mag_b(Z)[nT],sr_pressure[N/m^2],shadow coefficient,airdensity[kg/m^3],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],MOON_pos_b(X)[m],MOON_pos_b(Y)[m],MOON_pos_b(Z)[m],MOON_vel_b(X)[m/s],MOON_vel_b(Y)[m/s],MOON_vel_b(Z)[m/s],ggtorque_b(X)[Nm],ggtorque_b(Y)[Nm],ggtorque_b(Z)[Nm],srp_torque_b(X)[Nm],srp_torque_b(Y)[Nm],srp_torque_b(Z)[Nm],srp_force_b(X)[N],srp_force_b(Y)[N],srp_force_b(Z)[N],airdrag_torque_b(X)[Nm],airdrag_torque_b(Y)[Nm],airdrag_torque_b(Z)[Nm],airdrag_force_b(X)[N],airdrag_force_b(Y)[N],airdrag_force_b(Z)[N],rmm_b(X)[Am^2],rmm_b(Y)[Am^2],rmm_b(Z)[Am^2],mag_dist_torque_b(X)[Nm],mag_dist_torque_b(Y)[Nm],mag_dist_torque_b(Z)[Nm],acc_thirdbody_i(X)[m/s2],acc_thirdbody_i(Y)[m/s2],acc_thirdbody_i(Z)[m/s2],a_geop_ecef(X)[m/s2],a_geop_ecef(Y)[m/s2],a_geop_ecef(Z)[m/s2],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],gyro_omega2_c(X)[rad/s],gyro_omega2_c(Y)[rad/s],gyro_omega2_c(Z)[rad/s],clock_sensor[sec],
0,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84214e+07,-5.56389e+07,143.728,887.073,356.6,0.0489646,0.00536192,0.0377665,0,0,0,1,0,-0,0,0.00620693,0.00019263,-2111769.772374508,-5360353.225433829,3596181.649781079,4200.434474,-4637.540129,-4429.236126,4200.434474,-4637.540129,-4429.236126,0,0,0,0.560853,5.72264,419453,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84213e+07,-5.56388e+07,143.728,887.073,356.6,0.0489636,0.00536264,0.0377668,0.0024482,0.000268113,0.00188833,0.999995,-9.75892e-07,7.25887e-07,2.48774e-07,0.00620687,0.000192626,-2111349.632802087,-5360817.036907832,3595738.617453132,4200.703048,-4636.858302,-4429.694813,4185.489008,-4674.322637,-4404.650589,-2.290190025e-06,2.70990982e-06,2.480792054e-06,0.560776,5.72273,419453,7888.41,31655.5,6447,7888.41,31655.5,6447,4.71293e-06,1,2.67144e-12,2.11177e+06,5.36035e+06,-3.59618e+06,217524,-251202,-246715,2.61775e+10,-1.32802e+11,-5.75759e+10,-4.70673e+09,-3.80781e+09,6.64297e+09,4.00794e+08,-3.3061e+07,-5.9235e+07,-935041,-1.80315e+07,3.77263e+06,0,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.1165e-08,6.57871e-07,-6.79036e-07,-3.17579e-05,3.61457e-05,3.40292e-05,0.0399303,0.039961,0.0399803,-1.00797e-06,5.79497e-08,9.48788e-07,-0,-0,-0,0,0,0,0.0504481,0.00536192,0.0377665,0.0489646,0.00598848,0.0377665,0.11,
0.2,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.0489627,0.00536337,0.037767,0.00489633,0.000536261,0.00377665,0.999981,-9.74019e-07,7.33498e-07,2.39857e-07,0.00620681,0.000192623,-2110929.635387711,-5361280.593654979,3595295.71748848,4200.971461,-4636.176691,-4430.15326,4170.394581,-4710.930797,-4379.896517,-2.287926629e-06,2.715990516e-06,2.476651925e-06,0.560699,5.72282,419452,8059.84,31738.1,6588.31,8176.22,31739.3,6437.26,4.71293e-06,1,2.67146e-12,2.13348e+06,5.33513e+06,-3.62079e+06,216722,-253187,-245382,2.5706e+10,-1.3318e+11,-5.69108e+10,-4.72457e+09,-3.75738e+09,6.65885e+09,4.00697e+08,-3.4863e+07,-5.88533e+07,-1.00509e+06,-1.80092e+07,3.86057e+06,0,0,0,1.10325e-08,9.89358e-09,-2.09261e-08,-2.98207e-07,1.79441e-06,6.91151e-07,2.74153e-08,6.53851e-07,-6.81266e-07,-3.16072e-05,3.65195e-05,3.37779e-05,0.0399978,0.0400493,0.0400222,-1.01247e-06,6.97537e-08,9.42049e-07,-0,-0,-0,0,0,0,0.0504481,0.00536192,0.0377665,0.0489646,0.00598848,0.0377665,0.11,
0.3,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.0489617,0.00536411,0.0377672,0.00734437,0.000804439,0.00566495,0.999957,-9.65358e-07,7.36564e-07,2.29954e-07,0.00620676,0.000192619,-2110509.442107749,-5361744.268756464,3594852.593431002,4201.239929,-4635.494746,-4430.611835,4155.151975,-4747.362712,-4354.975208,-2.285656744e-06,2.722126919e-06,2.472534405e-06,0.560621,5.72291,419452,7966.53,31582.8,6559.98,8198.22,31584.5,6259.36,4.71293e-06,1,2.67149e-12,2.15511e+06,5.30972e+06,-3.64526e+06,215913,-255163,-244039,2.52326e+10,-1.33553e+11,-5.62442e+10,-4.74223e+09,-3.70682e+09,6.67447e+09,4.00593e+08,-3.66628e+07,-5.84629e+07,-1.07511e+06,-1.79861e+07,3.94837e+06,0,1.32436e-23,0,1.11519e-08,9.72052e-09,-2.08724e-08,-2.91623e-07,1.79562e-06,6.80429e-07,3.36705e-08,6.49793e-07,-6.83463e-07,-3.14544e-05,3.68919e-05,3.35248e-05,0.0399663,0.0400118,0.0399129,-1.01018e-06,7.70512e-08,9.3429e-07,-0,-0,-0,0,0,0,0.0504481,0.00536192,0.0377665,0.0489646,0.00598848,0.0377665,0.11,
0.4,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.8421e+07,-5.56387e+07,143.727,887.073,356.6,0.0489607,0.00536486,0.0377675,0.00979228,0.00107265,0.00755321,0.999923,-9.70585e-07,7.47915e-07,2.24114e-07,0.0062067,0.000192616,-2110089.391024895,-5362207.689166662,3594409.601792156,4201.508235,-4634.813017,-4431.070169,4139.761536,-4783.617571,-4329.887221,-2.283382149e-06,2.728315878e-06,2.468442336e-06,0.560544,5.723,419451,8033.38,31659.4,6502.81,8381.99,31658.6,6050.96,4.71293e-06,1,2.67152e-12,2.17666e+06,5.2841e+06,-3.66959e+06,215095,-257129,-242688,2.47575e+10,-1.33922e+11,-5.5576e+10,-4.7597e+09,-3.65611e+09,6.68984e+09,4.00482e+08,-3.84602e+07,-5.80637e+07,-1.14507e+06,-1.79624e+07,4.03601e+06,0,-1.32436e-23,-1.32436e-23,1.12695e-08,9.54776e-09,-2.08173e-08,-2.85049e-07,1.79668e-06,6.69727e-07,3.99296e-08,6.45697e-07,-6.85626e-07,-3.12997e-05,3.72629e-05,3.32699e-05,0.0399824,0.0399941,0.0399192,-1.02178e-06,9.26704e-08,9.30557e-07,-0,-0,-0,0,0,0,0.0504481,0.00536192,0.0377665,0.0489646,0.00598848,0.0377665,0.11,
0.5,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56387e+07,143.727,887.073,356.6,0.0489598,0.0053656,0.0377677,0.0122401,0.00134088,0.0094414,0.99988,-9.63719e-07,7.43772e-07,2.22146e-07,0.00620665,0.000192612,-2109669.144065541,-5362671.227864522,3593966.386034884,4201.776595,-4634.130954,-4431.52863,4124.22406,-4819.693495,-4304.633872,-2.281104233e-06,2.734554942e-06,2.464377941e-06,0.560467,5.72309,419450,7932.03,31619.8,6661.35,8396.09,31621,6059.55,4.71293e-06,1,2.67154e-12,2.19813e+06,5.25829e+06,-3.69379e+06,214269,-259085,-241327,2.42807e+10,-1.34285e+11,-5.49062e+10,-4.77699e+09,-3.60526e+09,6.70495e+09,4.00364e+08,-4.02552e+07,-5.76557e+07,-1.215e+06,-1.79379e+07,4.12351e+06,0,0,0,1.13854e-08,9.37535e-09,-2.07607e-08,-2.78487e-07,1.79759e-06,6.59048e-07,4.61917e-08,6.41563e-07,-6.87755e-07,-3.11431e-05,3.76324e-05,3.30132e-05,0.0400611,0.0400319,0.0399693,-1.0213e-06,9.28339e-08,9.30661e-07,-0,-0,-0,0,0,0,0.0504481,0.00536192,0.0377665,0.0489646,0.00598848,0.0377665,0.11,
0.6,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56386e+07,143.727,887.073,356.6,0.0489588,0.00536636,0.0377679,0.0146877,0.00160914,0.0113295,0.999827,-9.66811e-07,7.54908e-07,2.11238e-07,0.00620659,0.000192609,-2109249.039328776,-5363134.511921652,3593523.302737266,4202.044795,-4633.449107,-4431.986851,4108.539897,-4855.589684,-4279.21573,-2.278824708e-06,2.740840851e-06,2.460343987e-06,0.56039,5.72318,419450,7960.74,31623.7,6587.71,8541.26,31620,5835.65,4.71293e-06,1,2.67157e-12,2.21952e+06,5.23228e+06,-3.71786e+06,213436,-261032,-239958,2.38021e+10,-1.34643e+11,-5.4235e+10,-4.7941e+09,-3.55427e+09,6.7198e+09,4.00239e+08,-4.20478e+07,-5.7239e+07,-1.28488e+06,-1.79128e+07,4.21084e+06,0,0,0,1.14995e-08,9.20329e-09,-2.07028e-08,-2.71938e-07,1.79834e-06,6.48392e-07,5.24559e-08,6.37393e-07,-6.89849e-07,-3.09845e-05,3.80004e-05,3.27548e-05,0.0399656,0.040032,0.0399867,-1.03077e-06,1.08312e-07,9.21789e-07,-0,-0,-0,0,0,0,0.0504481,0.00536192,0.0377665,0.0489646,0.00598848,0.0377665,0.11,
0.7,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84208e+07,-5.56386e+07,143.727,887.073,356.6,0.0489578,0.00536712,0.0377681,0.0171351,0.00187742,0.0132175,0.999764,-9.65438e-07,7.57413e-07,2.07014e-07,0.00620653,0.000192605,-2108828.738708,-5363597.914196024,3593079.995299222,4202.313049,-4632.766926,-4432.4452,4092.709862,-4891.304274,-4253.634127,-2.276544905e-06,2.747171052e-06,2.456342619e-06,0.560313,5.72327,419449,7944.34,31636.5,6673.45,8641.23,31631.3,5770.73,4.71293e-06,1,2.6716e-12,2.24082e+06,5.20608e+06,-3.74179e+06,212594,-262969,-238579,2.33219e+10,-1.34996e+11,-5.35623e+10,-4.81102e+09,-3.50315e+09,6.73439e+09,4.00107e+08,-4.38378e+07,-5.68135e+07,-1.35472e+06,-1.7887e+07,4.29801e+06,2.64873e-23,0,1.32436e-23,1.16118e-08,9.03163e-09,-2.06435e-08,-2.65402e-07,1.79894e-06,6.37761e-07,5.87212e-08,6.33186e-07,-6.91907e-07,-3.08239e-05,3.83668e-05,3.24947e-05,0.0400001,0.0400049,0.0400435,-1.03577e-06,1.15195e-07,9.19565e-07,-0,-0,-0,0,0,0,0.0504481,0.00536192,0.0377665,0.0489646,0.00598848,0.0377665,0.11,
0.8,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84207e+07,-5.56386e+07,143.726,887.073,356.6,0.0489569,0.00536788,0.0377683,0.0195823,0.00214572,0.0151054,0.999692,-9.69311e-07,7.68052e-07,2.02802e-07,0.00620647,0.000192602,-2108408.580345475,-5364061.061869013,3592636.820372578,4202.581141,-4632.08496,-4432.903308,4076.734311,-4926.836472,-4227.889639,-2.274266471e-06,2.753542181e-06,2.452376523e-06,0.560235,5.72336,419449,7983.46,31735,6586.37,8799.63,31720.8,5530.32,4.71293e-06,1,2.67163e-12,2.26204e+06,5.17969e+06,-3.76557e+06,211745,-264896,-237192,2.28399e+10,-1.35343e+11,-5.28881e+10,-4.82776e+09,-3.4519e+09,6.74872e+09,3.99968e+08,-4.56252e+07,-5.63794e+07,-1.4245e+06,-1.78604e+07,4.38501e+06,2.64872e-23,0,0,1.17224e-08,8.86038e-09,-2.05827e-08,-2.58881e-07,1.79939e-06,6.27157e-07,6.49867e-08,6.28944e-07,-6.93931e-07,-3.06615e-05,3.87316e-05,3.22329e-05,0.0400164,0.0400058,0.0399506,-1.04602e-06,1.30247e-07,9.17315e-07,-0,-0,-0,0,0,0,0.0504481,0.00536192,0.0377665,0.0489646,0.00598848,0.0377665,0.11,
0.9,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84206e+07,-5.56385e+07,143.726,887.073,356.6,0.0489559,0.00536866,0.0377685,0.0220292,0.00241403,0.0169932,0.99961,-9.66921e-07,7.73992e-07,1.9122e-07,0.00620642,0.000192598,-2107988.226081239,-5364524.327700046,3592193.421272765,4202.849288,-4631.402662,-4433.361544,4060.614074,-4962.184435,-4201.983616,-2.271990667e-06,2.759951584e-06,2.448447764e-06,0.560158,5.72345,419448,7935.58,31610.1,6562.5,8864.95,31589.8,5360.58,4.71293e-06,1,2.67165e-12,2.28317e+06,5.15311e+06,-3.78922e+06,210887,-266813,-235796,2.23563e+10,-1.35686e+11,-5.22125e+10,-4.8443e+09,-3.40052e+09,6.76278e+09,3.99823e+08,-4.74099e+07,-5.59366e+07,-1.49422e+06,-1.78332e+07,4.47185e+06,0,0,1.32436e-23,1.18311e-08,8.68958e-09,-2.05207e-08,-2.52376e-07,1.79969e-06,6.16581e-07,7.12515e-08,6.24667e-07,-6.95919e-07,-3.04972e-05,3.90946e-05,3.19695e-05,0.0399649,0.0400255,0.0400307,-1.05e-06,1.40635e-07,9.0766e-07,-0,-0,-0,0,0,0,0.0504481,0.00536192,0.0377665,0.0489646,0.00598848,0.0377665,0.11,
