time[sec],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],MOON_pos_i(X)[m],MOON_pos_i(Y)[m],MOON_pos_i(Z)[m],MOON_vel_i(X)[m/s],MOON_vel_i(Y)[m/s],MOON_vel_i(Z)[m/s],omega_true_b(X)[rad/s],omega_true_b(Y)[rad/s],omega_true_b(Z)[rad/s],quaternion_true_i2b(0)[-],quaternion_true_i2b(1)[-],quaternion_true_i2b(2)[-],quaternion_true_i2b(3)[-],torque_true_b(X)[Nm],torque_true_b(Y)[Nm],torque_true_b(Z)[Nm],h_total[Nms],k_sc[J],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],sat_acc_i_i(X)[m/s^2],sat_acc_i_i(Y)[m/s^2],sat_acc_i_i(Z)[m/s^2],lat[rad],lon[rad],alt[m],mag_i(X)[nT],mag_i(Y)[nT],mag_i(Z)[nT],mag_b(X)[nT],mag_b(Y)[nT],mag_b(Z)[nT],sr_pressure[N/m^2],shadow coefficient,airdensity[kg/m^3],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],MOON_pos_b(X)[m],MOON_pos_b(Y)[m],MOON_pos_b(Z)[m],MOON_vel_b(X)[m/s],MOON_vel_b(Y)[m/s],MOON_vel_b(Z)[m/s],ggtorque_b(X)[Nm],ggtorque_b(Y)[Nm],ggtorque_b(Z)[Nm],srp_torque_b(X)[Nm],srp_torque_b(Y)[Nm],srp_torque_b(Z)[Nm],srp_force_b(X)[N],srp_force_b(Y)[N],srp_force_b(Z)[N],airdrag_torque_b(X)[Nm],airdrag_torque_b(Y)[Nm],airdrag_torque_b(Z)[Nm],airdrag_force_b(X)[N],airdrag_force_b(Y)[N],airdrag_force_b(Z)[N],rmm_b(X)[Am^2],rmm_b(Y)[Am^2],rmm_b(Z)[Am^2],mag_dist_torque_b(X)[Nm],mag_dist_torque_b(Y)[Nm],mag_dist_torque_b(Z)[Nm],acc_thirdbody_i(X)[m/s2],acc_thirdbody_i(Y)[m/s2],acc_thirdbody_i(Z)[m/s2],a_geop_ecef(X)[m/s2],a_geop_ecef(Y)[m/s2],a_geop_ecef(Z)[m/s2],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],gyro_omega2_c(X)[rad/s],gyro_omega2_c(Y)[rad/s],gyro_omega2_c(Z)[rad/s],clock_sensor[sec],
0,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84214e+07,-5.56389e+07,143.728,887.073,356.6,0.0420402,0.00565455,0.0371031,0,0,0,1,0,-0,0,0.00563559,0.0001588,-2111769.772374508,-5360353.225433829,3596181.649781079,4200.434474,-4637.540129,-4429.236126,4200.434474,-4637.540129,-4429.236126,0,0,0,0.560853,5.72264,419453,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84213e+07,-5.56388e+07,143.728,887.073,356.6,0.0420392,0.00565528,0.0371033,0.00210198,0.000282745,0.00185516,0.999996,-9.75894e-07,7.28819e-07,2.48752e-07,0.00563555,0.000158797,-2111349.632802087,-5360817.036907832,3595738.617453132,4200.703048,-4636.858302,-4429.694813,4185.934195,-4670.993155,-4407.758502,-2.290190025e-06,2.70990982e-06,2.480792054e-06,0.560776,5.72273,419453,8049.61,31658.8,6520.39,8049.61,31658.8,6520.39,4.71293e-06,1,2.67144e-12,2.11177e+06,5.36035e+06,-3.59618e+06,215020,-224900,-208980,2.61775e+10,-1.32802e+11,-5.75759e+10,-4.60177e+09,-3.39176e+09,5.73105e+09,4.00794e+08,-3.3061e+07,-5.9235e+07,-895774,-1.73554e+07,3.66099e+06,0,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.1165e-08,6.57871e-07,-6.79036e-07,-3.17579e-05,3.61457e-05,3.40292e-05,0.0401209,0.039929,0.0400623,-1.00797e-06,6.08818e-08,9.48766e-07,-0,-0,-0,0,0,0,0.0443302,0.00565455,0.0371031,0.0420402,0.00592917,0.0371031,0.11,
0.2,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.0420382,0.00565601,0.0371036,0.0042039,0.000565525,0.00371032,0.999984,-9.81427e-07,7.3515e-07,2.43947e-07,0.0056355,0.000158794,-2110929.635387711,-5361280.593654979,3595295.71748848,4200.971461,-4636.176691,-4430.15326,4171.300699,-4704.304402,-4386.151389,-2.288019342e-06,2.715403441e-06,2.477175196e-06,0.560699,5.72282,419452,8053.72,31746.7,6546.43,8167.84,31743.9,6417.56,4.71293e-06,1,2.67146e-12,2.13324e+06,5.33778e+06,-3.61703e+06,214319,-226536,-207924,2.57166e+10,-1.33139e+11,-5.70023e+10,-4.61752e+09,-3.35049e+09,5.74251e+09,4.00702e+08,-3.47956e+07,-5.88653e+07,-962172,-1.73365e+07,3.73362e+06,2.64873e-23,0,1.32437e-23,1.10162e-08,9.90917e-09,-2.09253e-08,-2.98406e-07,1.79413e-06,6.92511e-07,2.67608e-08,6.54214e-07,-6.80975e-07,-3.16119e-05,3.64856e-05,3.38095e-05,0.0400889,0.0400023,0.0401942,-1.0192e-06,7.1027e-08,9.45847e-07,-0,-0,-0,0,0,0,0.0443302,0.00565455,0.0371031,0.0420402,0.00592917,0.0371031,0.11,
0.3,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.0420373,0.00565674,0.0371038,0.00630573,0.000848336,0.00556545,0.999964,-9.67263e-07,7.31953e-07,2.35238e-07,0.00563545,0.000158791,-2110509.442107749,-5361744.268756464,3594852.593431002,4201.239929,-4635.494746,-4430.611835,4156.53465,-4737.472312,-4364.415826,-2.28584799e-06,2.720943194e-06,2.473572096e-06,0.560621,5.72291,419452,7931.74,31634.2,6625.06,8159.12,31629.1,6368.2,4.71293e-06,1,2.67149e-12,2.15463e+06,5.31505e+06,-3.63777e+06,213611,-228166,-206862,2.52541e+10,-1.33472e+11,-5.64274e+10,-4.63311e+09,-3.30912e+09,5.75378e+09,4.00602e+08,-3.65283e+07,-5.84883e+07,-1.02854e+06,-1.73169e+07,3.80613e+06,2.64873e-23,-1.32436e-23,0,1.11194e-08,9.75166e-09,-2.08711e-08,-2.92022e-07,1.79509e-06,6.83144e-07,3.23603e-08,6.50525e-07,-6.82885e-07,-3.14642e-05,3.68243e-05,3.35883e-05,0.0400133,0.040028,0.0400153,-1.01074e-06,7.16764e-08,9.38994e-07,-0,-0,-0,0,0,0,0.0443302,0.00565455,0.0371031,0.0420402,0.00592917,0.0371031,0.11,
0.4,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.8421e+07,-5.56387e+07,143.727,887.073,356.6,0.0420363,0.00565749,0.0371041,0.00840747,0.00113118,0.00742056,0.999936,-9.71753e-07,7.42537e-07,2.28363e-07,0.0056354,0.000158788,-2110089.391024895,-5362207.689166662,3594409.601792156,4201.508235,-4634.813017,-4431.070169,4141.63628,-4770.49642,-4342.552109,-2.283677478e-06,2.72652667e-06,2.469984834e-06,0.560544,5.723,419451,7964,31651.4,6546.15,8305.49,31641,6160.84,4.71293e-06,1,2.67152e-12,2.17596e+06,5.29215e+06,-3.6584e+06,212897,-229788,-205794,2.479e+10,-1.33801e+11,-5.58515e+10,-4.64856e+09,-3.26764e+09,5.76487e+09,4.00496e+08,-3.82589e+07,-5.8104e+07,-1.09487e+06,-1.72968e+07,3.87852e+06,0,1.32436e-23,1.32436e-23,1.12213e-08,9.59443e-09,-2.08157e-08,-2.85649e-07,1.79592e-06,6.73794e-07,3.79629e-08,6.46805e-07,-6.84768e-07,-3.13148e-05,3.7162e-05,3.33657e-05,0.0400022,0.0399448,0.040044,-1.02094e-06,8.6138e-08,9.33946e-07,-0,-0,-0,0,0,0,0.0443302,0.00565455,0.0371031,0.0420402,0.00592917,0.0371031,0.11,
0.5,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56387e+07,143.727,887.073,356.6,0.0420353,0.00565823,0.0371043,0.0105091,0.00141405,0.00927562,0.999901,-9.69606e-07,7.45773e-07,2.21749e-07,0.00563535,0.000158786,-2109669.144065541,-5362671.227864522,3593966.386034884,4201.776595,-4634.130954,-4431.52863,4126.606268,-4803.375181,-4320.561288,-2.281508932e-06,2.732152179e-06,2.466414883e-06,0.560467,5.72309,419450,8014.83,31738.2,6670.72,8471.28,31723.7,6155.78,4.71293e-06,1,2.67154e-12,2.19721e+06,5.26909e+06,-3.67892e+06,212176,-231403,-204720,2.43243e+10,-1.34126e+11,-5.52745e+10,-4.66386e+09,-3.22606e+09,5.77577e+09,4.00383e+08,-3.99876e+07,-5.77126e+07,-1.16117e+06,-1.72762e+07,3.95079e+06,0,-1.32436e-23,0,1.13217e-08,9.43749e-09,-2.07592e-08,-2.79287e-07,1.79664e-06,6.64462e-07,4.3568e-08,6.43053e-07,-6.86621e-07,-3.11637e-05,3.74984e-05,3.31416e-05,0.0399737,0.0400155,0.0400591,-1.0245e-06,9.32826e-08,9.29129e-07,-0,-0,-0,0,0,0,0.0443302,0.00565455,0.0371031,0.0420402,0.00592917,0.0371031,0.11,
0.6,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56386e+07,143.727,887.073,356.6,0.0420344,0.00565899,0.0371045,0.0126106,0.00169694,0.0111306,0.999857,-9.69761e-07,7.53399e-07,2.15653e-07,0.0056353,0.000158783,-2109249.039328776,-5363134.511921652,3593523.302737266,4202.044795,-4633.449107,-4431.986851,4111.444847,-4836.108132,-4298.443664,-2.279343815e-06,2.737817241e-06,2.462864275e-06,0.56039,5.72318,419450,7988.95,31695,6587.72,8559.06,31673.2,5945.11,4.71293e-06,1,2.67157e-12,2.21839e+06,5.24587e+06,-3.69934e+06,211449,-233012,-203639,2.38572e+10,-1.34446e+11,-5.46964e+10,-4.67901e+09,-3.18438e+09,5.78649e+09,4.00264e+08,-4.17141e+07,-5.73139e+07,-1.22744e+06,-1.7255e+07,4.02293e+06,0,-1.32436e-23,-1.32436e-23,1.14208e-08,9.28087e-09,-2.07016e-08,-2.72939e-07,1.79722e-06,6.55148e-07,4.91747e-08,6.39271e-07,-6.88446e-07,-3.10109e-05,3.78337e-05,3.29162e-05,0.0399958,0.0399571,0.0400309,-1.03036e-06,1.04847e-07,9.248e-07,-0,-0,-0,0,0,0,0.0443302,0.00565455,0.0371031,0.0420402,0.00592917,0.0371031,0.11,
0.7,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84208e+07,-5.56386e+07,143.727,887.073,356.6,0.0420334,0.00565975,0.0371047,0.0147119,0.00197986,0.0129855,0.999805,-9.69107e-07,7.65802e-07,2.04178e-07,0.00563524,0.00015878,-2108828.738708,-5363597.914196024,3593079.995299222,4202.313049,-4632.766926,-4432.4452,4096.152714,-4868.693742,-4276.200298,-2.277183214e-06,2.743520096e-06,2.459334435e-06,0.560313,5.72327,419449,8107.95,31673.5,6526.66,8791.93,31640.3,5756.8,4.71293e-06,1,2.6716e-12,2.2395e+06,5.22249e+06,-3.71965e+06,210716,-234613,-202552,2.33885e+10,-1.34762e+11,-5.41172e+10,-4.69401e+09,-3.14259e+09,5.79703e+09,4.00138e+08,-4.34386e+07,-5.6908e+07,-1.29367e+06,-1.72332e+07,4.09495e+06,-2.64873e-23,0,-1.32436e-23,1.15183e-08,9.12457e-09,-2.06429e-08,-2.66603e-07,1.79769e-06,6.45854e-07,5.47825e-08,6.35459e-07,-6.90241e-07,-3.08565e-05,3.81677e-05,3.26894e-05,0.0400658,0.0401084,0.0400219,-1.03541e-06,1.21219e-07,9.15063e-07,-0,-0,-0,0,0,0,0.0443302,0.00565455,0.0371031,0.0420402,0.00592917,0.0371031,0.11,
0.8,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84207e+07,-5.56386e+07,143.726,887.073,356.6,0.0420324,0.00566051,0.0371049,0.0168131,0.0022628,0.0148404,0.999746,-9.63944e-07,7.62764e-07,2.02002e-07,0.00563519,0.000158777,-2108408.580345475,-5364061.061869013,3592636.820372578,4202.581141,-4632.08496,-4432.903308,4080.730105,-4901.131553,-4253.831493,-2.275028543e-06,2.749258194e-06,2.455827346e-06,0.560235,5.72336,419449,8040.93,31700.2,6681.11,8839.24,31664.4,5782.14,4.71293e-06,1,2.67163e-12,2.26054e+06,5.19895e+06,-3.73985e+06,209976,-236207,-201459,2.29184e+10,-1.35075e+11,-5.3537e+10,-4.70885e+09,-3.10071e+09,5.80738e+09,4.00005e+08,-4.51608e+07,-5.64949e+07,-1.35985e+06,-1.72109e+07,4.16684e+06,0,0,0,1.16144e-08,8.96863e-09,-2.05831e-08,-2.60283e-07,1.79802e-06,6.3658e-07,6.03906e-08,6.31617e-07,-6.92008e-07,-3.07004e-05,3.85003e-05,3.24613e-05,0.0400665,0.0400588,0.0400315,-1.03595e-06,1.22178e-07,9.14593e-07,-0,-0,-0,0,0,0,0.0443302,0.00565455,0.0371031,0.0420402,0.00592917,0.0371031,0.11,
0.9,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84206e+07,-5.56385e+07,143.726,887.073,356.6,0.0420315,0.00566129,0.0371051,0.0189141,0.00254576,0.0166951,0.999678,-9.65979e-07,7.71911e-07,1.93129e-07,0.00563514,0.000158774,-2107988.226081239,-5364524.327700046,3592193.421272765,4202.849288,-4631.402662,-4433.361544,4065.177723,-4933.42005,-4231.338324,-2.27288084e-06,2.755029706e-06,2.452344385e-06,0.560158,5.72345,419448,8014.55,31670.3,6576.46,8926.63,31622.8,5550.38,4.71293e-06,1,2.67165e-12,2.2815e+06,5.17525e+06,-3.75994e+06,209229,-237793,-200360,2.24468e+10,-1.35383e+11,-5.29557e+10,-4.72355e+09,-3.05874e+09,5.81754e+09,3.99866e+08,-4.68808e+07,-5.60747e+07,-1.42599e+06,-1.71881e+07,4.2386e+06,0,0,0,1.17091e-08,8.81305e-09,-2.05221e-08,-2.53977e-07,1.79824e-06,6.27328e-07,6.59984e-08,6.27746e-07,-6.93744e-07,-3.05428e-05,3.88317e-05,3.22318e-05,0.0399966,0.0400384,0.0400317,-1.04369e-06,1.35352e-07,9.07396e-07,-0,-0,-0,0,0,0,0.0443302,0.00565455,0.0371031,0.0420402,0.00592917,0.0371031,0.11,
