time[sec],EARTH_pos_i(X)[m],EARTH_pos_i(Y)[m],EARTH_pos_i(Z)[m],EARTH_vel_i(X)[m/s],EARTH_vel_i(Y)[m/s],EARTH_vel_i(Z)[m/s],SUN_pos_i(X)[m],SUN_pos_i(Y)[m],SUN_pos_i(Z)[m],SUN_vel_i(X)[m/s],SUN_vel_i(Y)[m/s],SUN_vel_i(Z)[m/s],MOON_pos_i(X)[m],MOON_pos_i(Y)[m],MOON_pos_i(Z)[m],MOON_vel_i(X)[m/s],MOON_vel_i(Y)[m/s],MOON_vel_i(Z)[m/s],omega_true_b(X)[rad/s],omega_true_b(Y)[rad/s],omega_true_b(Z)[rad/s],quaternion_true_i2b(0)[-],quaternion_true_i2b(1)[-],quaternion_true_i2b(2)[-],quaternion_true_i2b(3)[-],torque_true_b(X)[Nm],torque_true_b(Y)[Nm],torque_true_b(Z)[Nm],h_total[Nms],k_sc[J],sat_position_i(X)[m],sat_position_i(Y)[m],sat_position_i(Z)[m],sat_velocity_i(X)[m/s],sat_velocity_i(Y)[m/s],sat_velocity_i(Z)[m/s],sat_velocity_b(X)[m/s],sat_velocity_b(Y)[m/s],sat_velocity_b(Z)[m/s],sat_acc_i_i(X)[m/s^2],sat_acc_i_i(Y)[m/s^2],sat_acc_i_i(Z)[m/s^2],lat[rad],lon[rad],alt[m],mag_i(X)[nT],mag_i(Y)[nT],mag_i(Z)[nT],mag_b(X)[nT],mag_b(Y)[nT],mag_b(Z)[nT],sr_pressure[N/m^2],shadow coefficient,airdensity[kg/m^3],EARTH_pos_b(X)[m],EARTH_pos_b(Y)[m],EARTH_pos_b(Z)[m],EARTH_vel_b(X)[m/s],EARTH_vel_b(Y)[m/s],EARTH_vel_b(Z)[m/s],SUN_pos_b(X)[m],SUN_pos_b(Y)[m],SUN_pos_b(Z)[m],SUN_vel_b(X)[m/s],SUN_vel_b(Y)[m/s],SUN_vel_b(Z)[m/s],MOON_pos_b(X)[m],MOON_pos_b(Y)[m],MOON_pos_b(Z)[m],MOON_vel_b(X)[m/s],MOON_vel_b(Y)[m/s],MOON_vel_b(Z)[m/s],ggtorque_b(X)[Nm],ggtorque_b(Y)[Nm],ggtorque_b(Z)[Nm],srp_torque_b(X)[Nm],srp_torque_b(Y)[Nm],srp_torque_b(Z)[Nm],srp_force_b(X)[N],srp_force_b(Y)[N],srp_force_b(Z)[N],airdrag_torque_b(X)[Nm],airdrag_torque_b(Y)[Nm],airdrag_torque_b(Z)[Nm],airdrag_force_b(X)[N],airdrag_force_b(Y)[N],airdrag_force_b(Z)[N],rmm_b(X)[Am^2],rmm_b(Y)[Am^2],rmm_b(Z)[Am^2],mag_dist_torque_b(X)[Nm],mag_dist_torque_b(Y)[Nm],mag_dist_torque_b(Z)[Nm],acc_thirdbody_i(X)[m/s2],acc_thirdbody_i(Y)[m/s2],acc_thirdbody_i(Z)[m/s2],a_geop_ecef(X)[m/s2],a_geop_ecef(Y)[m/s2],a_geop_ecef(Z)[m/s2],gyro_omega1_c(X)[rad/s],gyro_omega1_c(Y)[rad/s],gyro_omega1_c(Z)[rad/s],gyro_omega2_c(X)[rad/s],gyro_omega2_c(Y)[rad/s],gyro_omega2_c(Z)[rad/s],clock_sensor[sec],
0,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84214e+07,-5.56389e+07,143.728,887.073,356.6,0.0275848,0.00580528,0.00568377,0,0,0,1,0,-0,0,0.00287564,4.13464e-05,-2111769.772374508,-5360353.225433829,3596181.649781079,4200.434474,-4637.540129,-4429.236126,4200.434474,-4637.540129,-4429.236126,0,0,0,0.560853,5.72264,419453,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,
0.1,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84213e+07,-5.56388e+07,143.728,887.073,356.6,0.0275838,0.005806,0.00568402,0.00137922,0.000290282,0.000284194,0.999999,-9.70144e-07,7.23353e-07,2.49141e-07,0.00287556,4.13443e-05,-2111349.632802087,-5360817.036907832,3595738.617453132,4200.703048,-4636.858302,-4429.694813,4200.630658,-4651.443911,-4414.445466,-2.290190025e-06,2.70990982e-06,2.480792054e-06,0.560776,5.72273,419453,7974.91,31673,6571.56,7974.91,31673,6571.56,4.71293e-06,1,2.67144e-12,2.11177e+06,5.36035e+06,-3.59618e+06,47143.4,-106565,-131176,2.61775e+10,-1.32802e+11,-5.75759e+10,-4.20546e+08,-1.737e+09,3.81529e+09,4.00794e+08,-3.3061e+07,-5.9235e+07,151908,-3.90648e+06,3.24349e+06,0,0,0,1.09115e-08,1.00669e-08,-2.09784e-08,-3.04801e-07,1.79304e-06,7.01893e-07,2.1165e-08,6.57871e-07,-6.79036e-07,-3.17579e-05,3.61457e-05,3.40292e-05,0.0400508,0.0400474,0.0399518,-1.00222e-06,5.54159e-08,9.49155e-07,-0,-0,-0,0,0,0,0.0277643,0.00580528,0.00568377,0.0275848,0.00660352,0.00568377,0.11,
0.2,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.0275829,0.00580673,0.00568426,0.00275838,0.0005806,0.000568401,0.999996,-9.71409e-07,7.31267e-07,2.40598e-07,0.00287549,4.13422e-05,-2110929.635387711,-5361280.593654979,3595295.71748848,4200.971461,-4636.176691,-4430.15326,4200.811052,-4665.308262,-4399.618025,-2.290316936e-06,2.712013132e-06,2.478536147e-06,0.560699,5.72282,419452,8126.22,31659.2,6598.46,8140.41,31672.6,6515.83,4.71293e-06,1,2.67146e-12,2.11648e+06,5.34968e+06,-3.60928e+06,47162.5,-106937,-130862,2.61353e+10,-1.32975e+11,-5.71942e+10,-4.23737e+08,-1.72618e+09,3.81971e+09,4.00809e+08,-3.34512e+07,-5.89101e+07,147839,-3.89763e+06,3.25458e+06,2.64873e-23,0,1.32437e-23,1.09805e-08,1.00019e-08,-2.09824e-08,-3.0399e-07,1.79425e-06,6.96203e-07,2.4079e-08,6.56387e-07,-6.80466e-07,-3.17589e-05,3.62877e-05,3.38798e-05,0.0400235,0.0399982,0.0400058,-1.00647e-06,6.48778e-08,9.42047e-07,-0,-0,-0,0,0,0,0.0277643,0.00580528,0.00568377,0.0275848,0.00660352,0.00568377,0.11,
0.3,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84212e+07,-5.56388e+07,143.728,887.073,356.6,0.0275819,0.00580747,0.0056845,0.00413749,0.000870953,0.000852618,0.999991,-9.79574e-07,7.32879e-07,2.44108e-07,0.00287542,4.13401e-05,-2110509.442107749,-5361744.268756464,3594852.593431002,4201.239929,-4635.494746,-4430.611835,4200.975874,-4679.13253,-4384.754289,-2.29043598e-06,2.714124191e-06,2.476293585e-06,0.560621,5.72291,419452,8070.68,31754.3,6585.63,8099.25,31780.9,6419.76,4.71293e-06,1,2.67149e-12,2.1212e+06,5.33897e+06,-3.62235e+06,47181.3,-107307,-130547,2.60928e+10,-1.33147e+11,-5.6812e+10,-4.26924e+08,-1.71535e+09,3.8241e+09,4.00824e+08,-3.38405e+07,-5.85841e+07,143768,-3.88875e+06,3.26565e+06,0,0,1.32436e-23,1.10492e-08,9.9369e-09,-2.09861e-08,-3.03175e-07,1.79544e-06,6.90515e-07,2.69922e-08,6.54898e-07,-6.8189e-07,-3.17597e-05,3.64293e-05,3.37301e-05,0.0399891,0.0399922,0.0400981,-1.01762e-06,6.8044e-08,9.46985e-07,-0,-0,-0,0,0,0,0.0277643,0.00580528,0.00568377,0.0275848,0.00660352,0.00568377,0.11,
0.4,0,0,0,0,0,0,2.61754e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.8421e+07,-5.56387e+07,143.727,887.073,356.6,0.0275809,0.0058082,0.00568474,0.00551654,0.00116134,0.00113685,0.999983,-9.73437e-07,7.32678e-07,2.38768e-07,0.00287534,4.13379e-05,-2110089.391024895,-5362207.689166662,3594409.601792156,4201.508235,-4634.813017,-4431.070169,4201.124907,-4692.917159,-4369.854006,-2.290547327e-06,2.716242328e-06,2.474064916e-06,0.560544,5.723,419451,8049.7,31666.4,6619.84,8092.41,31706.4,6371.69,4.71293e-06,1,2.67152e-12,2.12592e+06,5.32822e+06,-3.63539e+06,47199.7,-107677,-130231,2.605e+10,-1.33318e+11,-5.64294e+10,-4.30108e+08,-1.7045e+09,3.82846e+09,4.00838e+08,-3.42289e+07,-5.8257e+07,139696,-3.87983e+06,3.27669e+06,2.64873e-23,1.32436e-23,1.32436e-23,1.11176e-08,9.87186e-09,-2.09894e-08,-3.02354e-07,1.79659e-06,6.84832e-07,2.99043e-08,6.53403e-07,-6.83308e-07,-3.17602e-05,3.65706e-05,3.35801e-05,0.0399401,0.03995,0.0400238,-1.01446e-06,6.94026e-08,9.43065e-07,-0,-0,-0,0,0,0,0.0277643,0.00580528,0.00568377,0.0275848,0.00660352,0.00568377,0.11,
0.5,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56387e+07,143.727,887.073,356.6,0.0275799,0.00580893,0.00568498,0.00689554,0.00145176,0.00142108,0.999974,-9.75666e-07,7.327e-07,2.42016e-07,0.00287527,4.13358e-05,-2109669.144065541,-5362671.227864522,3593966.386034884,4201.776595,-4634.130954,-4431.52863,4201.258368,-4706.661503,-4354.917666,-2.290650787e-06,2.718367624e-06,2.471850106e-06,0.560467,5.72309,419450,7947.23,31653.3,6568.02,8004.39,31705.8,6237.02,4.71293e-06,1,2.67154e-12,2.13064e+06,5.31743e+06,-3.6484e+06,47217.6,-108045,-129915,2.60068e+10,-1.33488e+11,-5.60463e+10,-4.33288e+08,-1.69364e+09,3.83279e+09,4.00852e+08,-3.46164e+07,-5.79287e+07,135621,-3.87088e+06,3.2877e+06,0,0,0,1.11856e-08,9.8068e-09,-2.09924e-08,-3.01528e-07,1.79771e-06,6.79152e-07,3.28154e-08,6.51902e-07,-6.84718e-07,-3.17603e-05,3.67114e-05,3.34299e-05,0.0400007,0.0400441,0.0400376,-1.01967e-06,7.09912e-08,9.47726e-07,-0,-0,-0,0,0,0,0.0277643,0.00580528,0.00568377,0.0275848,0.00660352,0.00568377,0.11,
0.6,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84209e+07,-5.56386e+07,143.727,887.073,356.6,0.027579,0.00580967,0.00568521,0.00827447,0.00174222,0.00170533,0.999963,-9.72273e-07,7.3947e-07,2.33337e-07,0.00287519,4.13337e-05,-2109249.039328776,-5363134.511921652,3593523.302737266,4202.044795,-4633.449107,-4431.986851,4201.376041,-4720.366003,-4339.94501,-2.290746526e-06,2.720499406e-06,2.469649697e-06,0.56039,5.72318,419450,8154.28,31625,6654.26,8225.54,31690.6,6241.44,4.71293e-06,1,2.67157e-12,2.13536e+06,5.30661e+06,-3.66138e+06,47235.3,-108413,-129597,2.59633e+10,-1.33657e+11,-5.56628e+10,-4.36465e+08,-1.68277e+09,3.83708e+09,4.00865e+08,-3.50031e+07,-5.75994e+07,131545,-3.86189e+06,3.29869e+06,-2.64873e-23,0,-1.32436e-23,1.12532e-08,9.74173e-09,-2.09949e-08,-3.00698e-07,1.7988e-06,6.73475e-07,3.57253e-08,6.50395e-07,-6.86121e-07,-3.17602e-05,3.68519e-05,3.32794e-05,0.0400564,0.0399926,0.040039,-1.01925e-06,7.9333e-08,9.40453e-07,-0,-0,-0,0,0,0,0.0277643,0.00580528,0.00568377,0.0275848,0.00660352,0.00568377,0.11,
0.7,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84208e+07,-5.56386e+07,143.727,887.073,356.6,0.027578,0.00581041,0.00568546,0.00965333,0.00203271,0.00198959,0.999949,-9.80594e-07,7.3862e-07,2.41591e-07,0.00287512,4.13316e-05,-2108828.738708,-5363597.914196024,3593079.995299222,4202.313049,-4632.766926,-4432.4452,4201.478145,-4734.030014,-4324.936534,-2.290834358e-06,2.722637752e-06,2.467463648e-06,0.560313,5.72327,419449,8028.64,31778.6,6616.09,8114.97,31856.5,6117.65,4.71293e-06,1,2.6716e-12,2.14009e+06,5.29575e+06,-3.67432e+06,47252.5,-108780,-129278,2.59195e+10,-1.33825e+11,-5.52789e+10,-4.39637e+08,-1.67188e+09,3.84134e+09,4.00878e+08,-3.53888e+07,-5.7269e+07,127468,-3.85287e+06,3.30965e+06,0,0,-1.32436e-23,1.13205e-08,9.67665e-09,-2.09972e-08,-2.99863e-07,1.79985e-06,6.67803e-07,3.8634e-08,6.48883e-07,-6.87517e-07,-3.17597e-05,3.69919e-05,3.31286e-05,0.0400098,0.0399837,0.0400281,-1.03055e-06,8.00609e-08,9.50105e-07,-0,-0,-0,0,0,0,0.0277643,0.00580528,0.00568377,0.0275848,0.00660352,0.00568377,0.11,
0.8,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84207e+07,-5.56386e+07,143.726,887.073,356.6,0.027577,0.00581115,0.00568569,0.0110321,0.00232323,0.00227385,0.999934,-9.79259e-07,7.39821e-07,2.36546e-07,0.00287504,4.13294e-05,-2108408.580345475,-5364061.061869013,3592636.820372578,4202.581141,-4632.08496,-4432.903308,4201.564459,-4747.653978,-4309.891979,-2.290914446e-06,2.724781983e-06,2.465292498e-06,0.560235,5.72336,419449,7949.12,31623.5,6581.76,8049.56,31713.2,6002.84,4.71293e-06,1,2.67163e-12,2.14482e+06,5.28485e+06,-3.68723e+06,47269.4,-109147,-128958,2.58754e+10,-1.33991e+11,-5.48945e+10,-4.42806e+08,-1.66098e+09,3.84557e+09,4.00891e+08,-3.57737e+07,-5.69375e+07,123389,-3.84382e+06,3.32058e+06,0,0,0,1.13874e-08,9.61157e-09,-2.0999e-08,-2.99022e-07,1.80088e-06,6.62135e-07,4.15413e-08,6.47364e-07,-6.88906e-07,-3.1759e-05,3.71316e-05,3.29775e-05,0.0399745,0.0399112,0.0401022,-1.03219e-06,8.28445e-08,9.46451e-07,-0,-0,-0,0,0,0,0.0277643,0.00580528,0.00568377,0.0275848,0.00660352,0.00568377,0.11,
0.9,0,0,0,0,0,0,2.61755e+10,-1.32807e+11,-5.75723e+10,29801.6,4976.65,2156.95,3.98683e+08,-3.84206e+07,-5.56385e+07,143.726,887.073,356.6,0.027576,0.0058119,0.00568592,0.0124108,0.00261378,0.00255812,0.999916,-9.75971e-07,7.45032e-07,2.31441e-07,0.00287497,4.13273e-05,-2107988.226081239,-5364524.327700046,3592193.421272765,4202.849288,-4631.402662,-4433.361544,4201.635206,-4761.237253,-4294.811841,-2.290986601e-06,2.726932176e-06,2.463136202e-06,0.560158,5.72345,419448,8060.82,31628.4,6592.98,8175.8,31729.7,5931.69,4.71293e-06,1,2.67165e-12,2.14954e+06,5.27392e+06,-3.70011e+06,47285.9,-109512,-128638,2.58309e+10,-1.34157e+11,-5.45098e+10,-4.45971e+08,-1.65007e+09,3.84976e+09,4.00903e+08,-3.61576e+07,-5.66049e+07,119308,-3.83473e+06,3.33149e+06,2.64872e-23,-1.32436e-23,0,1.1454e-08,9.54648e-09,-2.10005e-08,-2.98177e-07,1.80187e-06,6.56471e-07,4.44472e-08,6.4584e-07,-6.90288e-07,-3.17579e-05,3.72709e-05,3.28262e-05,0.0400175,0.0399977,0.0399981,-1.03187e-06,8.96451e-08,9.42729e-07,-0,-0,-0,0,0,0,0.0277643,0.00580528,0.00568377,0.0275848,0.00660352,0.00568377,0.11,
